genome	cluster	size	extended_phylogeny	succinct_phylogeny	final_representative	rep_accession	ecogenomics_classificaion	final_classification	updated_classification	initial_classification	accession	genome_extended	genome_type	is_95ANI_rep	new_isolate	existing_isolate	isolate_origin
GCA_902589725_1_AG_914_B14	cluster_000222	1	include	include	GCA_902589725.1_AG-914-B14	GCA_902589725.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902589725.1	GCA_902589725.1_AG-914-B14	SAG	TRUE	NA	NA	NA
GCA_902592375_1_AG_447_C08	cluster_000123	1	include	include	GCA_902592375.1_AG-447-C08	GCA_902592375.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902592375.1	GCA_902592375.1_AG-447-C08	SAG	TRUE	NA	NA	NA
GCA_902593445_1_AG_447_E19	cluster_000070	1	include	include	GCA_902593445.1_AG-447-E19	GCA_902593445.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902593445.1	GCA_902593445.1_AG-447-E19	SAG	TRUE	NA	NA	NA
GCA_902595885_1_AG_447_O14	cluster_000134	1	include	include	GCA_902595885.1_AG-447-O14	GCA_902595885.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902595885.1	GCA_902595885.1_AG-447-O14	SAG	TRUE	NA	NA	NA
GCA_902599105_1_AG_916_M13	cluster_000067	2	include	include	GCA_902599105.1_AG-916-M13	GCA_902599105.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902599105.1	GCA_902599105.1_AG-916-M13	SAG	TRUE	NA	NA	NA
GCA_902599335_1_AG_916_N14	cluster_000316	1	include	include	GCA_902599335.1_AG-916-N14	GCA_902599335.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902599335.1	GCA_902599335.1_AG-916-N14	SAG	TRUE	NA	NA	NA
GCA_902611405_1_AG_891_A05	cluster_000143	1	include	include	GCA_902611405.1_AG-891-A05	GCA_902611405.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902611405.1	GCA_902611405.1_AG-891-A05	SAG	TRUE	NA	NA	NA
GCA_902613755_1_AG_891_I18	cluster_000064	1	include	include	GCA_902613755.1_AG-891-I18	GCA_902613755.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902613755.1	GCA_902613755.1_AG-891-I18	SAG	TRUE	NA	NA	NA
GCA_902615975_1_AG_892_A22	cluster_000043	1	include	include	GCA_902615975.1_AG-892-A22	GCA_902615975.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902615975.1	GCA_902615975.1_AG-892-A22	SAG	TRUE	NA	NA	NA
GCA_902618695_1_AG_920_D05	cluster_000340	1	include	include	GCA_902618695.1_AG-920-D05	GCA_902618695.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902618695.1	GCA_902618695.1_AG-920-D05	SAG	TRUE	NA	NA	NA
GCA_902623075_1_AH_287_B07	cluster_000009	1	include	include	GCA_902623075.1_AH-287-B07	GCA_902623075.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902623075.1	GCA_902623075.1_AH-287-B07	SAG	TRUE	NA	NA	NA
GCA_902624045_1_AH_287_E09	cluster_000286	1	include	include	GCA_902624045.1_AH-287-E09	GCA_902624045.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902624045.1	GCA_902624045.1_AH-287-E09	SAG	TRUE	NA	NA	NA
GCA_902628965_1_AH_324_F03	cluster_000142	1	include	include	GCA_902628965.1_AH-324-F03	GCA_902628965.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902628965.1	GCA_902628965.1_AH-324-F03	SAG	TRUE	NA	NA	NA
GCA_902629285_1_AH_324_J07	cluster_000233	1	include	include	GCA_902629285.1_AH-324-J07	GCA_902629285.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902629285.1	GCA_902629285.1_AH-324-J07	SAG	TRUE	NA	NA	NA
GCA_902629935_1_AH_324_N03	cluster_000103	1	include	include	GCA_902629935.1_AH-324-N03	GCA_902629935.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902629935.1	GCA_902629935.1_AH-324-N03	SAG	TRUE	NA	NA	NA
GCA_902633985_1_AG_426_M05	cluster_000094	1	include	include	GCA_902633985.1_AG-426-M05	GCA_902633985.1		Ia.3.V	Ia.3.V	Ia.3.V	GCA_902633985.1	GCA_902633985.1_AG-426-M05	SAG	TRUE	NA	NA	NA
GCA_902533445_1_AG_898_C07	cluster_000065	1	include	include	GCA_902533445.1_AG-898-C07	GCA_902533445.1		Ia.3.VI	Ia.3.VI	1a.3.VI	GCA_902533445.1	GCA_902533445.1_AG-898-C07	SAG	TRUE	NA	NA	NA
GCA_902555435_1_AG_390_C17	cluster_000298	1	include	include	GCA_902555435.1_AG-390-C17	GCA_902555435.1		Ia.3.VI	Ia.3.VI	1a.3.VI	GCA_902555435.1	GCA_902555435.1_AG-390-C17	SAG	TRUE	NA	NA	NA
GCA_902594715_1_AG_447_K11	cluster_000005	1	include	include	GCA_902594715.1_AG-447-K11	GCA_902594715.1		Ia.3.VI	Ia.3.VI	1a.3.VI	GCA_902594715.1	GCA_902594715.1_AG-447-K11	SAG	TRUE	NA	NA	NA
GCA_014653735_1_SAG_MED33	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1	Ia.3.VII	Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_014653735.1	GCA_014653735.1_SAG-MED33	SAG	NA	NA	NA	NA
GCA_014653985_1_SAG_MED22	cluster_000025	1	include	include	GCA_014653985.1_SAG-MED22	GCA_014653985.1	Ia.3.VII	Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_014653985.1	GCA_014653985.1_SAG-MED22	SAG	TRUE	NA	NA	NA
GCA_014654325_1_SAG_MED08	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1	Ia.3.VII	Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_014654325.1	GCA_014654325.1_SAG-MED08	SAG	NA	NA	NA	NA
GCA_902518455_1_AG_894_C14	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902518455.1	GCA_902518455.1_AG-894-C14	SAG	NA	NA	NA	NA
GCA_902539165_1_AG_899_J02	cluster_000235	1	include	include	GCA_902539165.1_AG-899-J02	GCA_902539165.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902539165.1	GCA_902539165.1_AG-899-J02	SAG	TRUE	NA	NA	NA
GCA_902540045_1_AG_359_C09	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902540045.1	GCA_902540045.1_AG-359-C09	SAG	NA	NA	NA	NA
GCA_902540595_1_AG_899_N21	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902540595.1	GCA_902540595.1_AG-899-N21	SAG	NA	NA	NA	NA
GCA_902542915_1_AG_359_M21	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902542915.1	GCA_902542915.1_AG-359-M21	SAG	NA	NA	NA	NA
GCA_902549945_1_AG_903_D02	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902549945.1	GCA_902549945.1_AG-903-D02	SAG	NA	NA	NA	NA
GCA_902551955_1_AG_903_K22	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902551955.1	GCA_902551955.1_AG-903-K22	SAG	NA	NA	NA	NA
GCA_902554715_1_AG_904_F17	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902554715.1	GCA_902554715.1_AG-904-F17	SAG	NA	NA	NA	NA
GCA_902557265_1_AG_390_I15	cluster_000244	2	include	excluded_not_95_rep	GCA_902622795.1_AG-893-L06	GCA_902622795.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902557265.1	GCA_902557265.1_AG-390-I15	SAG	NA	NA	NA	NA
GCA_902567405_1_AG_908_I10	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902567405.1	GCA_902567405.1_AG-908-I10	SAG	NA	NA	NA	NA
GCA_902570235_1_AG_414_O11	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1	Ia.3.VII	Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902570235.1	GCA_902570235.1_AG-414-O11	SAG	NA	NA	NA	NA
GCA_902577995_1_AG_911_B04	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902577995.1	GCA_902577995.1_AG-911-B04	SAG	NA	NA	NA	NA
GCA_902578255_1_AG_911_D18	cluster_000087	1	include	include	GCA_902578255.1_AG-911-D18	GCA_902578255.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902578255.1	GCA_902578255.1_AG-911-D18	SAG	TRUE	NA	NA	NA
GCA_902580005_1_AG_430_E20	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1	Ia.3.VII	Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902580005.1	GCA_902580005.1_AG-430-E20	SAG	NA	NA	NA	NA
GCA_902583135_1_AG_912_F16	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902583135.1	GCA_902583135.1_AG-912-F16	SAG	NA	NA	NA	NA
GCA_902583295_1_AG_430_K19	cluster_000227	1	include	include	GCA_902583295.1_AG-430-K19	GCA_902583295.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902583295.1	GCA_902583295.1_AG-430-K19	SAG	TRUE	NA	NA	NA
GCA_902585595_1_AG_913_A04	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902585595.1	GCA_902585595.1_AG-913-A04	SAG	NA	NA	NA	NA
GCA_902585705_1_AG_913_C03	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902585705.1	GCA_902585705.1_AG-913-C03	SAG	NA	NA	NA	NA
GCA_902590915_1_AG_914_G22	cluster_000128	1	include	include	GCA_902590915.1_AG-914-G22	GCA_902590915.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902590915.1	GCA_902590915.1_AG-914-G22	SAG	TRUE	NA	NA	NA
GCA_902594635_1_AG_915_K13	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902594635.1	GCA_902594635.1_AG-915-K13	SAG	NA	NA	NA	NA
GCA_902599515_1_AG_916_M15	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902599515.1	GCA_902599515.1_AG-916-M15	SAG	NA	NA	NA	NA
GCA_902600795_1_AG_917_C08	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902600795.1	GCA_902600795.1_AG-917-C08	SAG	NA	NA	NA	NA
GCA_902602265_1_AG_917_I17	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902602265.1	GCA_902602265.1_AG-917-I17	SAG	NA	NA	NA	NA
GCA_902604525_1_AG_461_B13	cluster_000330	1	include	include	GCA_902604525.1_AG-461-B13	GCA_902604525.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902604525.1	GCA_902604525.1_AG-461-B13	SAG	TRUE	NA	NA	NA
GCA_902610355_1_AG_917_M22	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902610355.1	GCA_902610355.1_AG-917-M22	SAG	NA	NA	NA	NA
GCA_902612995_1_AG_918_K09	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902612995.1	GCA_902612995.1_AG-918-K09	SAG	NA	NA	NA	NA
GCA_902613205_1_AG_918_L07	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902613205.1	GCA_902613205.1_AG-918-L07	SAG	NA	NA	NA	NA
GCA_902613405_1_AG_918_L21	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902613405.1	GCA_902613405.1_AG-918-L21	SAG	NA	NA	NA	NA
GCA_902613855_1_AG_891_J07	cluster_000049	1	include	include	GCA_902613855.1_AG-891-J07	GCA_902613855.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902613855.1	GCA_902613855.1_AG-891-J07	SAG	TRUE	NA	NA	NA
GCA_902619815_1_AG_920_J04	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902619815.1	GCA_902619815.1_AG-920-J04	SAG	NA	NA	NA	NA
GCA_902621225_1_AG_920_O11	cluster_000001	28	include	include	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902621225.1	GCA_902621225.1_AG-920-O11	SAG	TRUE	NA	NA	NA
GCA_902622795_1_AG_893_L06	cluster_000244	2	include	include	GCA_902622795.1_AG-893-L06	GCA_902622795.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902622795.1	GCA_902622795.1_AG-893-L06	SAG	TRUE	NA	NA	NA
GCA_902623605_1_AG_893_N22	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902623605.1	GCA_902623605.1_AG-893-N22	SAG	NA	NA	NA	NA
GCA_902633195_1_AG_917_P07	cluster_000001	28	include	excluded_not_95_rep	GCA_902621225.1_AG-920-O11	GCA_902621225.1		Ia.3.VII	Ia.3.VII	Ia.3.VII	GCA_902633195.1	GCA_902633195.1_AG-917-P07	SAG	NA	NA	NA	NA
GCA_902520675_1_AG_894_L13	cluster_000100	3	include	excluded_not_95_rep	GCA_902524345.1_AG-895-J19	GCA_902524345.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902520675.1	GCA_902520675.1_AG-894-L13	SAG	NA	NA	NA	NA
GCA_902524345_1_AG_895_J19	cluster_000100	3	include	include	GCA_902524345.1_AG-895-J19	GCA_902524345.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902524345.1	GCA_902524345.1_AG-895-J19	SAG	TRUE	NA	NA	NA
GCA_902525625_1_AG_337_G11	cluster_000170	1	include	include	GCA_902525625.1_AG-337-G11	GCA_902525625.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902525625.1	GCA_902525625.1_AG-337-G11	SAG	TRUE	NA	NA	NA
GCA_902541315_1_AG_359_G18	cluster_000261	1	include	include	GCA_902541315.1_AG-359-G18	GCA_902541315.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902541315.1	GCA_902541315.1_AG-359-G18	SAG	TRUE	NA	NA	NA
GCA_902542605_1_AG_900_E18	cluster_000100	3	include	excluded_not_95_rep	GCA_902524345.1_AG-895-J19	GCA_902524345.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902542605.1	GCA_902542605.1_AG-900-E18	SAG	NA	NA	NA	NA
GCA_902544135_1_AG_900_K21	cluster_000249	2	include	include	GCA_902544135.1_AG-900-K21	GCA_902544135.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902544135.1	GCA_902544135.1_AG-900-K21	SAG	TRUE	NA	NA	NA
GCA_902567075_1_AG_908_F20	cluster_000249	2	include	excluded_not_95_rep	GCA_902544135.1_AG-900-K21	GCA_902544135.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902567075.1	GCA_902567075.1_AG-908-F20	SAG	NA	NA	NA	NA
GCA_902582455_1_AG_912_C08	cluster_000109	2	include	excluded_not_95_rep	GCA_902618485.1_AG-892-K05	GCA_902618485.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902582455.1	GCA_902582455.1_AG-912-C08	SAG	NA	NA	NA	NA
GCA_902614355_1_AG_891_L02	cluster_000145	1	include	include	GCA_902614355.1_AG-891-L02	GCA_902614355.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902614355.1	GCA_902614355.1_AG-891-L02	SAG	TRUE	NA	NA	NA
GCA_902618485_1_AG_892_K05	cluster_000109	2	include	include	GCA_902618485.1_AG-892-K05	GCA_902618485.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902618485.1	GCA_902618485.1_AG-892-K05	SAG	TRUE	NA	NA	NA
GCA_902620465_1_AG_920_L03	cluster_000334	1	include	include	GCA_902620465.1_AG-920-L03	GCA_902620465.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902620465.1	GCA_902620465.1_AG-920-L03	SAG	TRUE	NA	NA	NA
GCA_902621345_1_AG_893_F11	cluster_000180	1	include	include	GCA_902621345.1_AG-893-F11	GCA_902621345.1		Ia.4_3	Ia.4_3	Ia.4	GCA_902621345.1	GCA_902621345.1_AG-893-F11	SAG	TRUE	NA	NA	NA
GCA_902540275_1_AG_359_D09	cluster_000022	1	include	include	GCA_902540275.1_AG-359-D09	GCA_902540275.1		Ia.4_4	Ia.4_4	Ia.4	GCA_902540275.1	GCA_902540275.1_AG-359-D09	SAG	TRUE	NA	NA	NA
GCA_902627735_1_AH_321_L23	cluster_000205	1	include	include	GCA_902627735.1_AH-321-L23	GCA_902627735.1		Ia.4_4	Ia.4_4	Ia.4	GCA_902627735.1	GCA_902627735.1_AH-321-L23	SAG	TRUE	NA	NA	NA
GCA_902628195_1_AH_321_P04	cluster_000207	1	include	include	GCA_902628195.1_AH-321-P04	GCA_902628195.1		Ia.4_4	Ia.4_4	Ia.4	GCA_902628195.1	GCA_902628195.1_AH-321-P04	SAG	TRUE	NA	NA	NA
GCA_902524535_1_AG_895_K10	cluster_000079	1	include	include	GCA_902524535.1_AG-895-K10	GCA_902524535.1		Ia.4_5	Ia.4_5	Ia.4	GCA_902524535.1	GCA_902524535.1_AG-895-K10	SAG	TRUE	NA	NA	NA
GCA_902540235_1_AG_899_M07	cluster_000135	1	include	include	GCA_902540235.1_AG-899-M07	GCA_902540235.1		Ia.4_5	Ia.4_5	Ia.4	GCA_902540235.1	GCA_902540235.1_AG-899-M07	SAG	TRUE	NA	NA	NA
GCA_902557215_1_AG_905_A07	cluster_000208	1	include	include	GCA_902557215.1_AG-905-A07	GCA_902557215.1		Ia.4_5	Ia.4_5	Ia.4	GCA_902557215.1	GCA_902557215.1_AG-905-A07	SAG	TRUE	NA	NA	NA
GCA_902615445_1_AG_919_F03	cluster_000085	1	include	include	GCA_902615445.1_AG-919-F03	GCA_902615445.1		Ia.4_5	Ia.4_5	Ia.4	GCA_902615445.1	GCA_902615445.1_AG-919-F03	SAG	TRUE	NA	NA	NA
GCA_014654265_1_SAG_MED11	cluster_000192	1	include	include	GCA_014654265.1_SAG-MED11	GCA_014654265.1	Ia.4	Ia.4_6	Ia.4_6	Ia.4	GCA_014654265.1	GCA_014654265.1_SAG-MED11	SAG	TRUE	NA	NA	NA
GCA_902515425_1_AG_325_E08	cluster_000102	2	include	excluded_not_95_rep	GCA_902555725.1_AG-390-D15	GCA_902555725.1	Ia.4	Ia.4_6	Ia.4_6	Ia.4	GCA_902515425.1	GCA_902515425.1_AG-325-E08	SAG	NA	NA	NA	NA
GCA_902555725_1_AG_390_D15	cluster_000102	2	include	include	GCA_902555725.1_AG-390-D15	GCA_902555725.1		Ia.4_6	Ia.4_6	Ia.4	GCA_902555725.1	GCA_902555725.1_AG-390-D15	SAG	TRUE	NA	NA	NA
GCA_902597885_1_AG_916_G19	cluster_000320	1	include	include	GCA_902597885.1_AG-916-G19	GCA_902597885.1		Ia.4_6	Ia.4_6	Ia.4	GCA_902597885.1	GCA_902597885.1_AG-916-G19	SAG	TRUE	NA	NA	NA
GCA_902518155_1_AG_894_B07	cluster_000113	1	include	include	GCA_902518155.1_AG-894-B07	GCA_902518155.1		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902518155.1	GCA_902518155.1_AG-894-B07	SAG	TRUE	NA	NA	NA
GCA_902528545_1_AG_896_K10	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902528545.1	GCA_902528545.1_AG-896-K10	SAG	NA	NA	NA	NA
GCA_902550615_1_AG_903_F09	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902550615.1	GCA_902550615.1_AG-903-F09	SAG	NA	NA	NA	NA
GCA_902552805_1_AG_903_O08	cluster_000131	1	include	include	GCA_902552805.1_AG-903-O08	GCA_902552805.1		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902552805.1	GCA_902552805.1_AG-903-O08	SAG	TRUE	NA	NA	NA
GCA_902555965_1_AG_904_L02	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902555965.1	GCA_902555965.1_AG-904-L02	SAG	NA	NA	NA	NA
GCA_902577195_1_AG_426_G02	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204	Ia.4.II 	Ia.4.II	Ia.4.II	Ia.4.II	GCA_902577195.1	GCA_902577195.1_AG-426-G02	SAG	NA	NA	NA	NA
GCA_902586125_1_AG_913_B21	cluster_000126	1	include	include	GCA_902586125.1_AG-913-B21	GCA_902586125.1		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902586125.1	GCA_902586125.1_AG-913-B21	SAG	TRUE	NA	NA	NA
GCA_902595245_1_AG_447_N18	cluster_000292	1	include	include	GCA_902595245.1_AG-447-N18	GCA_902595245.1	Ia.4	Ia.4.II	NA	Ia.4.II	GCA_902595245.1	GCA_902595245.1_AG-447-N18	SAG	TRUE	NA	NA	NA
GCA_902609685_1_AG_917_K06	cluster_000204	1	include	include	GCA_902609685.1_AG-917-K06	GCA_902609685.1		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902609685.1	GCA_902609685.1_AG-917-K06	SAG	TRUE	NA	NA	NA
GCA_902612065_1_AG_891_C15	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902612065.1	GCA_902612065.1_AG-891-C15	SAG	NA	NA	NA	NA
GCA_902612325_1_AG_918_G06	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902612325.1	GCA_902612325.1_AG-918-G06	SAG	NA	NA	NA	NA
GCA_902614665_1_AG_919_C02	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902614665.1	GCA_902614665.1_AG-919-C02	SAG	NA	NA	NA	NA
GCA_902616725_1_AG_919_L02	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902616725.1	GCA_902616725.1_AG-919-L02	SAG	NA	NA	NA	NA
GCA_902616875_1_AG_919_L14	cluster_000030	16	include	excluded_not_95_rep	HIMB2204	HIMB2204		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902616875.1	GCA_902616875.1_AG-919-L14	SAG	NA	NA	NA	NA
GCA_902624315_1_AH_287_G05	cluster_000037	1	include	include	GCA_902624315.1_AH-287-G05	GCA_902624315.1		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902624315.1	GCA_902624315.1_AH-287-G05	SAG	TRUE	NA	NA	NA
GCA_902626645_1_AH_321_D17	cluster_000263	1	include	include	GCA_902626645.1_AH-321-D17	GCA_902626645.1		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902626645.1	GCA_902626645.1_AH-321-D17	SAG	TRUE	NA	NA	NA
GCA_902627805_1_AH_321_M13	cluster_000062	1	include	include	GCA_902627805.1_AH-321-M13	GCA_902627805.1		Ia.4.II	Ia.4.II	Ia.4.II	GCA_902627805.1	GCA_902627805.1_AH-321-M13	SAG	TRUE	NA	NA	NA
GCA_902520335_1_AG_894_K14	cluster_000129	1	include	include	GCA_902520335.1_AG-894-K14	GCA_902520335.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902520335.1	GCA_902520335.1_AG-894-K14	SAG	TRUE	NA	NA	NA
GCA_902524545_1_AG_337_D17	cluster_000197	1	include	include	GCA_902524545.1_AG-337-D17	GCA_902524545.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902524545.1	GCA_902524545.1_AG-337-D17	SAG	TRUE	NA	NA	NA
GCA_902528985_1_AG_896_L20	cluster_000060	4	include	excluded_not_95_rep	GCA_902596515.1_AG-916-A16	GCA_902596515.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902528985.1	GCA_902528985.1_AG-896-L20	SAG	NA	NA	NA	NA
GCA_902531765_1_AG_897_G15	cluster_000012	1	include	include	GCA_902531765.1_AG-897-G15	GCA_902531765.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902531765.1	GCA_902531765.1_AG-897-G15	SAG	TRUE	NA	NA	NA
GCA_902539445_1_AG_899_J23	cluster_000081	1	include	include	GCA_902539445.1_AG-899-J23	GCA_902539445.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902539445.1	GCA_902539445.1_AG-899-J23	SAG	TRUE	NA	NA	NA
GCA_902561665_1_AG_907_C04	cluster_000060	4	include	excluded_not_95_rep	GCA_902596515.1_AG-916-A16	GCA_902596515.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902561665.1	GCA_902561665.1_AG-907-C04	SAG	NA	NA	NA	NA
GCA_902571015_1_AG_909_G08	cluster_000351	1	include	include	GCA_902571015.1_AG-909-G08	GCA_902571015.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902571015.1	GCA_902571015.1_AG-909-G08	SAG	TRUE	NA	NA	NA
GCA_902573465_1_AG_910_B05	cluster_000110	1	include	include	GCA_902573465.1_AG-910-B05	GCA_902573465.1		Ia.4.RS39	Ia.4.RS39	Ia.4.RS39	GCA_902573465.1	GCA_902573465.1_AG-910-B05	SAG	TRUE	NA	NA	NA
